Date,Currency,Description,Record,Bid,Ask
20/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.249,2.269
23/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.312,2.332
24/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.309,2.329
25/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.313,2.333
26/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.363,2.383
27/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.272,2.292
30/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.236,2.256
31/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.25,2.27
01/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.224,2.244
02/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.231,2.251
03/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.312,2.332
06/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.41,2.43
07/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.397,2.417
08/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.376,2.396
09/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.402,2.422
10/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.409,2.429
13/04/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.414,2.434
