Date,Currency,Description,Record,Bid,Ask,Mid
05/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.474,4.494,
08/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.482,4.502,
09/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.478,4.498,
10/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.531,4.551,
11/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.522,4.542,
12/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.486,4.506,
15/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.466,4.486,
16/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.468,4.488,
17/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.464,4.484,
18/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.451,4.471,
19/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.441,4.461,
22/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.427,4.447,
23/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.413,4.433,
24/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.389,4.409,
25/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.369,4.389,
26/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.387,4.407,
29/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.383,4.403,
30/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.339,4.359,
31/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.317,4.337,
01/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.296,4.316,
02/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.32,4.34,
05/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.312,4.332,
06/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.338,4.358,
07/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.373,4.393,
08/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.365,4.385,
09/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.351,4.371,
12/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.381,4.401,
13/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.423,4.443,
14/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.399,4.419,
15/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.401,4.421,
16/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.447,4.467,
19/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.429,4.449,
20/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.412,4.432,
21/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.359,4.379,
22/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.36,4.38,
23/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.394,4.414,
