Name,Currency,Active,Day Count,Fixing Calendar,Offset Days,Offset Calendar,Effective Date Calendar,Tenor,Tenor Convention,FixingTime,FixingZone,Fixed Leg Day Count
JPY-TIBOR-JAPAN-9M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,9M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-10M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,10M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-11M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,11M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-12M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,12M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
,,,,,,,,,,,,
JPY-TIBOR-EUROYEN-1W,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,1W,Following,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-1M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,1M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-2M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,2M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-3M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,3M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-4M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,4M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-5M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,5M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-6M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,6M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-7M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,7M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-8M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,8M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-9M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,9M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-10M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,10M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-11M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,11M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-EUROYEN-12M,JPY,FALSE,Act/360,JPTO,2,JPTO,JPTO,12M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
,,,,,,,,,,,,
AUD-BBSW-1M,AUD,TRUE,Act/365F,AUSY,0,AUSY,AUSY,1M,ModifiedFollowingBiMonthly,10:30,Australia/Sydney,Act/365F
AUD-BBSW-2M,AUD,TRUE,Act/365F,AUSY,0,AUSY,AUSY,2M,ModifiedFollowingBiMonthly,10:30,Australia/Sydney,Act/365F
AUD-BBSW-3M,AUD,TRUE,Act/365F,AUSY,0,AUSY,AUSY,3M,ModifiedFollowingBiMonthly,10:30,Australia/Sydney,Act/365F
AUD-BBSW-4M,AUD,TRUE,Act/365F,AUSY,0,AUSY,AUSY,4M,ModifiedFollowingBiMonthly,10:30,Australia/Sydney,Act/365F
AUD-BBSW-5M,AUD,TRUE,Act/365F,AUSY,0,AUSY,AUSY,5M,ModifiedFollowingBiMonthly,10:30,Australia/Sydney,Act/365F
AUD-BBSW-6M,AUD,TRUE,Act/365F,AUSY,0,AUSY,AUSY,6M,ModifiedFollowingBiMonthly,10:30,Australia/Sydney,Act/365F
,,,,,,,,,,,,
CAD-CDOR-1M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,1M,ModifiedFollowing,10:15,America/Toronto,Act/365F
CAD-CDOR-2M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,2M,ModifiedFollowing,10:15,America/Toronto,Act/365F
CAD-CDOR-3M,CAD,TRUE,Act/365F,CATO,0,CATO,CATO,3M,ModifiedFollowing,10:15,America/Toronto,Act/365F
CAD-CDOR-6M,CAD,FALSE,Act/365F,CATO,0,CATO,CATO,6M,ModifiedFollowing,10:15,America/Toronto,Act/365F
CAD-CDOR-12M,CAD,FALSE,Act/365F,CATO,0,CATO,CATO,12M,ModifiedFollowing,10:15,America/Toronto,Act/365F
,,,,,,,,,,,,
CNY-REPO-1W,CNY,TRUE,Act/365F,CNBE,0,CNBE,CNBE,1W,Following,11:30,Asia/Shanghai,Act/365F
,,,,,,,,,,,,
CZK-PRIBOR-1W,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,1W,Following,11:00,Europe/Prague,ACT/360
CZK-PRIBOR-2W,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,2W,Following,11:00,Europe/Prague,ACT/360
CZK-PRIBOR-1M,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,1M,ModifiedFollowing,11:00,Europe/Prague,ACT/360
CZK-PRIBOR-2M,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,2M,ModifiedFollowing,11:00,Europe/Prague,ACT/360
CZK-PRIBOR-3M,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,3M,ModifiedFollowing,11:00,Europe/Prague,ACT/360
CZK-PRIBOR-6M,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,6M,ModifiedFollowing,11:00,Europe/Prague,ACT/360
CZK-PRIBOR-9M,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,9M,ModifiedFollowing,11:00,Europe/Prague,ACT/360
CZK-PRIBOR-12M,CZK,TRUE,Act/360,CZPR,2,CZPR,CZPR,12M,ModifiedFollowing,11:00,Europe/Prague,ACT/360
,,,,,,,,,,,,
DKK-CIBOR-1W,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,1W,Following,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-2W,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,2W,Following,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-1M,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,1M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-2M,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,2M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-3M,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,3M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-4M,DKK,FALSE,Act/360,DKCO,2,DKCO,DKCO,4M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-5M,DKK,FALSE,Act/360,DKCO,2,DKCO,DKCO,5M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-6M,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,6M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-7M,DKK,FALSE,Act/360,DKCO,2,DKCO,DKCO,7M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-8M,DKK,FALSE,Act/360,DKCO,2,DKCO,DKCO,8M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-9M,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,9M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-10M,DKK,FALSE,Act/360,DKCO,2,DKCO,DKCO,10M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-11M,DKK,FALSE,Act/360,DKCO,2,DKCO,DKCO,11M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
DKK-CIBOR-12M,DKK,TRUE,Act/360,DKCO,2,DKCO,DKCO,12M,ModifiedFollowing,11:00,Europe/Copenhagen,30U/360
,,,,,,,,,,,,
HKD-HIBOR-1W,HKD,TRUE,Act/365F,HKHK,0,HKHK,HKHK,1W,Following,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-2W,HKD,TRUE,Act/365F,HKHK,0,HKHK,HKHK,2W,Following,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-1M,HKD,TRUE,Act/365F,HKHK,0,HKHK,HKHK,1M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-2M,HKD,TRUE,Act/365F,HKHK,0,HKHK,HKHK,2M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-3M,HKD,TRUE,Act/365F,HKHK,0,HKHK,HKHK,3M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-4M,HKD,FALSE,Act/365F,HKHK,0,HKHK,HKHK,4M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-5M,HKD,FALSE,Act/365F,HKHK,0,HKHK,HKHK,5M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-6M,HKD,TRUE,Act/365F,HKHK,0,HKHK,HKHK,6M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-7M,HKD,FALSE,Act/365F,HKHK,0,HKHK,HKHK,7M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-8M,HKD,FALSE,Act/365F,HKHK,0,HKHK,HKHK,8M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
HKD-HIBOR-9M,HKD,FALSE,Act/365F,HKHK,0,HKHK,HKHK,9M,ModifiedFollowing,11:55,Asia/Hong_Kong,Act/365F
